	inst	leaders	workers	rc	total	eff_N	n_worker_alloc	n_leader_alloc	leader_owl	worker_owl	leader_day	worker_day	leader_eve	worker_eve	total_leader	total_worker
0	ASU	1.0	0.0	0.0	1.0	1.0	4.705882352941177	6.2745098039215685	0.0	0.0	8.0	4.0	0.0	4.0	8.0	8.0
1	ATHENS	0.0	1.0	0.0	1.0	1.0	4.705882352941177	6.2745098039215685	0.0	4.0	0.0	4.0	8.0	0.0	8.0	8.0
2	BONN	1.0	0.0	0.0	1.0	1.0	4.705882352941177	6.2745098039215685	8.0	0.0	0.0	0.0	0.0	4.0	8.0	4.0
3	CMU	4.0	2.0	16.0	6.0	6.0	28.235294117647058	21.647058823529413	4.0	12.0	12.0	4.0	4.0	12.0	20.0	28.0
4	CUA	2.0	0.0	0.0	2.0	2.0	9.411764705882353	12.549019607843137	0.0	0.0	8.0	4.0	4.0	4.0	12.0	8.0
5	CUG	0.0	2.0	0.0	2.0	2.0	9.411764705882353	12.549019607843137	4.0	4.0	4.0	4.0	4.0	0.0	12.0	8.0
6	CWM	8.0	1.0	32.0	9.0	9.0	42.35294117647059	24.470588235294116	8.0	8.0	0.0	16.0	16.0	20.0	24.0	44.0
7	DUKE	1.0	1.0	0.0	2.0	2.0	9.411764705882353	12.549019607843137	4.0	0.0	4.0	4.0	4.0	4.0	12.0	8.0
8	FIU	1.0	0.0	0.0	1.0	1.0	4.705882352941177	6.2745098039215685	4.0	4.0	0.0	0.0	4.0	0.0	8.0	4.0
9	FSU	6.0	4.0	0.0	10.0	10.0	47.05882352941177	62.745098039215684	20.0	8.0	24.0	12.0	16.0	24.0	60.0	44.0
10	GLASGOW	1.0	1.0	0.0	2.0	2.0	9.411764705882353	12.549019607843137	4.0	0.0	4.0	4.0	4.0	4.0	12.0	8.0
11	GSI	0.0	4.0	0.0	4.0	4.0	18.823529411764707	25.098039215686274	4.0	4.0	12.0	12.0	8.0	4.0	24.0	20.0
12	GWU	5.0	1.0	8.0	6.0	6.0	28.235294117647058	29.647058823529413	16.0	8.0	8.0	4.0	4.0	12.0	28.0	24.0
13	IHEP	1.0	2.0	0.0	3.0	3.0	14.117647058823529	18.823529411764707	8.0	4.0	4.0	8.0	4.0	0.0	16.0	12.0
14	INDIANA	4.0	2.0	24.0	6.0	6.0	28.235294117647058	13.647058823529413	0.0	0.0	12.0	12.0	4.0	16.0	16.0	28.0
15	ITEP	0.0	1.0	0.0	1.0	1.0	4.705882352941177	6.2745098039215685	4.0	8.0	4.0	0.0	0.0	0.0	8.0	8.0
16	JLAB	19.0	4.0	64.0	23.0	11.0	51.76470588235294	5.019607843137251	0.0	24.0	0.0	28.0	4.0	8.0	4.0	60.0
17	JLU	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18	LAMAR	1.0	0.0	0.0	1.0	1.0	4.705882352941177	6.2745098039215685	0.0	0.0	8.0	4.0	0.0	4.0	8.0	8.0
19	MEPHI	1.0	0.0	0.0	1.0	1.0	4.705882352941177	6.2745098039215685	0.0	0.0	0.0	0.0	8.0	4.0	8.0	4.0
20	MTA	1.0	0.0	0.0	1.0	1.0	4.705882352941177	6.2745098039215685	8.0	0.0	0.0	4.0	0.0	0.0	8.0	4.0
21	NCATS	0.0	1.0	0.0	1.0	1.0	4.705882352941177	6.2745098039215685	0.0	4.0	0.0	4.0	4.0	0.0	4.0	8.0
22	NSU	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
23	ODU	3.0	1.0	8.0	4.0	4.0	18.823529411764707	17.098039215686274	8.0	0.0	0.0	4.0	8.0	12.0	16.0	16.0
