,inst,experts,novices,rc,total,eff_N,n_novice_alloc,n_expert_alloc,expert_owl,novice_owl,expert_day,novice_day,expert_eve,novice_eve,total_expert,total_novice
0,ASU,1.0,0.0,0.0,1.0,1.0,0.11764705882352941,0.1568627450980392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ATHENS,0.0,1.0,0.0,1.0,1.0,0.11764705882352941,0.1568627450980392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,BONN,1.0,0.0,0.0,1.0,1.0,0.11764705882352941,0.1568627450980392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,CMU,4.0,2.0,16.0,6.0,6.0,0.7058823529411765,-15.058823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,CUA,2.0,0.0,0.0,2.0,2.0,0.23529411764705882,0.3137254901960784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,CUG,0.0,2.0,0.0,2.0,2.0,0.23529411764705882,0.3137254901960784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,CWM,8.0,1.0,32.0,9.0,9.0,1.0588235294117647,-30.58823529411765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,DUKE,1.0,1.0,0.0,2.0,2.0,0.23529411764705882,0.3137254901960784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,FIU,1.0,0.0,0.0,1.0,1.0,0.11764705882352941,0.1568627450980392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,FSU,6.0,4.0,0.0,10.0,10.0,1.1764705882352942,1.5686274509803921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,GLASGOW,1.0,1.0,0.0,2.0,2.0,0.23529411764705882,0.3137254901960784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,GSI,0.0,4.0,0.0,4.0,4.0,0.47058823529411764,0.6274509803921569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,GWU,5.0,1.0,8.0,6.0,6.0,0.7058823529411765,-7.0588235294117645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,IHEP,1.0,2.0,0.0,3.0,3.0,0.35294117647058826,0.47058823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,INDIANA,4.0,2.0,24.0,6.0,6.0,0.7058823529411765,-23.058823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,ITEP,0.0,1.0,0.0,1.0,1.0,0.11764705882352941,0.1568627450980392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,JLAB,19.0,4.0,64.0,23.0,11.0,1.2941176470588236,-62.27450980392157,0.0,4.0,0.0,4.0,0.0,4.0,0.0,12.0
17,JLU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,LAMAR,1.0,0.0,0.0,1.0,1.0,0.11764705882352941,0.1568627450980392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,MEPHI,1.0,0.0,0.0,1.0,1.0,0.11764705882352941,0.1568627450980392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,MTA,1.0,0.0,0.0,1.0,1.0,0.11764705882352941,0.1568627450980392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,NCATS,0.0,1.0,0.0,1.0,1.0,0.11764705882352941,0.1568627450980392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,NSU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,ODU,3.0,1.0,8.0,4.0,4.0,0.47058823529411764,-7.372549019607844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,REGINA,2.0,4.0,8.0,6.0,6.0,0.7058823529411765,-7.0588235294117645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,RUB,2.0,4.0,0.0,6.0,6.0,0.7058823529411765,0.9411764705882353,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
26,SMU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TEST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,TSU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,UCONN,1.0,0.0,0.0,1.0,1.0,0.11764705882352941,0.1568627450980392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,UMASSA,3.0,1.0,0.0,4.0,4.0,0.47058823529411764,0.6274509803921569,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
31,UNCW,2.0,0.0,0.0,2.0,2.0,0.23529411764705882,0.3137254901960784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,UNION,1.0,0.0,0.0,1.0,1.0,0.11764705882352941,0.1568627450980392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,VTECH,2.0,0.0,0.0,2.0,2.0,0.23529411764705882,0.3137254901960784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,WUHAN,0.0,2.0,0.0,2.0,2.0,0.23529411764705882,0.3137254901960784,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0
35,YERE,0.0,2.0,0.0,2.0,2.0,0.23529411764705882,0.3137254901960784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
totals,,73.0,41.0,160.0,114.0,102.0,11.999999999999996,-144.0,4.0,4.0,4.0,4.0,4.0,4.0,12.0,12.0
