,inst,experts,novices,rc,total,eff_N,effective_shifters,n_total_alloc,n_expert_alloc,n_novice_alloc,expert_owl,novice_owl,expert_day,novice_day,expert_eve,novice_eve,total_expert,total_novice,total_shifts
24,TEST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,IHEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ATHENS,1.0,0.0,0.0,1.0,1.0,1.0,10.666666666666666,5.333333333333333,5.333333333333333,4.0,0.0,0.0,4.0,0.0,4.0,4.0,8.0,12.0
2,BONN,1.0,0.0,0.0,1.0,1.0,1.0,10.666666666666666,5.333333333333333,5.333333333333333,4.0,0.0,4.0,4.0,0.0,0.0,8.0,4.0,12.0
29,UNION,1.0,0.0,0.0,1.0,1.0,1.0,10.666666666666666,5.333333333333333,5.333333333333333,4.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,8.0
26,UCONN,1.0,0.0,8.0,1.0,1.0,1.0,2.666666666666666,1.333333333333333,1.333333333333333,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0
25,TSU,1.0,0.0,0.0,1.0,1.0,1.0,10.666666666666666,5.333333333333333,5.333333333333333,0.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,8.0
8,FIU,1.0,0.0,0.0,1.0,1.0,1.0,10.666666666666666,5.333333333333333,5.333333333333333,4.0,0.0,0.0,4.0,4.0,0.0,8.0,4.0,12.0
20,NCATS,1.0,0.0,0.0,1.0,1.0,1.0,10.666666666666666,5.333333333333333,5.333333333333333,0.0,0.0,4.0,4.0,0.0,0.0,4.0,4.0,8.0
10,GIESS,1.0,0.0,0.0,1.0,1.0,1.0,10.666666666666666,5.333333333333333,5.333333333333333,4.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0
19,MTA,1.0,0.0,0.0,1.0,1.0,1.0,10.666666666666666,5.333333333333333,5.333333333333333,4.0,8.0,0.0,0.0,0.0,0.0,4.0,8.0,12.0
18,MEPHI,1.0,0.0,0.0,1.0,1.0,1.0,10.666666666666666,5.333333333333333,5.333333333333333,0.0,0.0,0.0,4.0,4.0,4.0,4.0,8.0,12.0
17,LAMAR,1.0,0.0,0.0,1.0,1.0,1.0,10.666666666666666,5.333333333333333,5.333333333333333,4.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,8.0
0,ASU,2.0,0.0,0.0,2.0,2.0,2.0,21.333333333333332,10.666666666666666,10.666666666666666,4.0,8.0,0.0,0.0,8.0,0.0,12.0,8.0,20.0
28,UNCW,2.0,0.0,16.0,2.0,2.0,2.0,5.333333333333332,2.666666666666666,2.666666666666666,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0
32,YERE,2.0,0.0,0.0,2.0,2.0,2.0,21.333333333333332,10.666666666666666,10.666666666666666,0.0,4.0,4.0,8.0,8.0,0.0,12.0,12.0,24.0
31,WUHAN,2.0,0.0,0.0,2.0,2.0,2.0,21.333333333333332,10.666666666666666,10.666666666666666,8.0,0.0,4.0,4.0,0.0,8.0,12.0,12.0,24.0
7,DUKE,2.0,0.0,0.0,2.0,2.0,2.0,21.333333333333332,10.666666666666666,10.666666666666666,0.0,0.0,8.0,0.0,4.0,8.0,12.0,8.0,20.0
5,CUG,2.0,0.0,0.0,2.0,2.0,2.0,21.333333333333332,10.666666666666666,10.666666666666666,8.0,4.0,0.0,8.0,0.0,0.0,8.0,12.0,20.0
4,CUA,2.0,0.0,0.0,2.0,2.0,2.0,21.333333333333332,10.666666666666666,10.666666666666666,0.0,0.0,4.0,4.0,8.0,4.0,12.0,8.0,20.0
30,VTECH,2.0,0.0,0.0,2.0,2.0,2.0,21.333333333333332,10.666666666666666,10.666666666666666,0.0,8.0,4.0,0.0,8.0,0.0,12.0,8.0,20.0
11,GLASGOW,3.0,0.0,0.0,3.0,3.0,3.0,32.0,16.0,16.0,0.0,16.0,12.0,0.0,4.0,0.0,16.0,16.0,32.0
15,ITEP,3.0,0.0,0.0,3.0,3.0,3.0,32.0,16.0,16.0,4.0,4.0,0.0,4.0,12.0,8.0,16.0,16.0,32.0
21,ODU,4.0,0.0,0.0,4.0,4.0,4.0,42.666666666666664,21.333333333333332,21.333333333333332,16.0,12.0,4.0,4.0,0.0,4.0,20.0,20.0,40.0
27,UMASSA,4.0,0.0,0.0,4.0,4.0,4.0,42.666666666666664,21.333333333333332,21.333333333333332,4.0,0.0,12.0,4.0,4.0,16.0,20.0,20.0,40.0
12,GWU,5.0,0.0,0.0,5.0,5.0,5.0,53.333333333333336,26.666666666666668,26.666666666666668,16.0,12.0,8.0,4.0,4.0,12.0,28.0,28.0,56.0
14,INDIANA,6.0,0.0,8.0,6.0,6.0,6.0,56.0,28.0,28.0,8.0,12.0,8.0,8.0,12.0,8.0,28.0,28.0,56.0
22,REGINA,6.0,0.0,0.0,6.0,6.0,6.0,64.0,32.0,32.0,12.0,12.0,8.0,12.0,12.0,8.0,32.0,32.0,64.0
23,RUB,6.0,0.0,0.0,6.0,6.0,6.0,64.0,32.0,32.0,8.0,20.0,12.0,0.0,8.0,12.0,28.0,32.0,60.0
3,CMU,6.0,0.0,16.0,6.0,6.0,6.0,48.0,24.0,24.0,0.0,4.0,12.0,12.0,12.0,8.0,24.0,24.0,48.0
